request_id,context_id,question,seq_length,context_length,ttft_s,total_latency_s,response_length,response_preview
22,nsdi22-paper-reda_1,What future work do the authors suggest?,3707,3667,0.125,1.1345,528,The authors suggest future work in two areas: improving client scalability and offering native support for WR cache acce
23,nsdi22-paper-reda_1,Explain the system architecture described in this paper.,3723,3667,0.0364,0.8958,383,"The system architecture described in this paper is called RedN, which stands for RedN is a novel framework. RedN leverag"
24,osdi24-agrawal,What is the main contribution of this paper?,3553,3509,0.0903,1.1443,476,"The main contribution of this paper is the introduction of Sarathi-Serve, an LLM inference scheduler that addresses the "
25,osdi24-agrawal,What future work do the authors suggest?,3549,3509,0.134,0.3514,115,"The authors suggest that future work could involve further optimization and improvements to Sarathi-Serve, such as:"
26,osdi24-agrawal,What methodology or approach is proposed?,3550,3509,0.0382,0.6562,299,"The methodology proposed in this paper is the Sarathi-Serve system, which introduces chunked-prefills and stall-free bat"
27,osdi24-lee,What are the practical implications of this work?,3386,3337,0.0938,0.1688,45,This work has several practical implications:
28,osdi24-lee,What is the motivation behind this research?,3381,3337,0.0319,1.3805,703,The motivation behind this research is to address the limitations of existing KV eviction strategies in large language m
29,osdi24-lee,How does this paper relate to network systems or ML inference?,3399,3337,0.0388,1.3962,669,"This paper discusses a dynamic KV cache management framework, InfiniGen, for large language models (LLMs) that offload m"
30,osdi24-sun-biao,What future work do the authors suggest?,3614,3574,0.0948,1.1795,587,"The authors suggest future work focusing on improving fault tolerance and scalability of Llumnix. Specifically, they not"
31,osdi24-sun-biao,What datasets or benchmarks were used for evaluation?,3627,3574,0.0431,1.1527,540,The evaluation section of the paper does not explicitly mention specific datasets or benchmarks used for evaluation. How
32,osdi24-sun-biao,What methodology or approach is proposed?,3615,3574,0.0404,0.8477,436,The methodology or approach proposed in the document is dynamic scheduling for large language model (LLM) inference. Spe
33,sigcomm2023_janus,What are the key performance metrics reported?,3398,3352,0.0917,0.194,57,The key performance metrics reported in the document are:
34,sigcomm2023_janus,Explain the system architecture described in this paper.,3408,3352,0.0352,0.7855,375,"The system architecture of Janus, as described in the paper, is designed to improve the efficiency of training sparse mi"
35,sigcomm2023_janus,What are the main limitations mentioned by the authors?,3407,3352,0.0357,0.8438,418,"The authors mention that the main limitation of the existing approaches, such as Tutel and DeepSpeed, is their reliance "
36,sigcomm24-crux,Describe the experimental setup used in this paper.,3612,3561,0.0992,0.8895,360,The experimental setup used in this paper involved a 96-GPU testbed. This testbed was used to evaluate the performance o
37,sigcomm24-crux,What trade-offs does the proposed solution involve?,3612,3561,0.0462,0.9701,465,"The proposed solution, Crux, involves several trade-offs. One trade-off is that it simplifies complex overlap patterns, "
38,sigcomm24-crux,What is the main contribution of this paper?,3605,3561,0.1308,0.8275,347,"The main contribution of this paper is the introduction of Crux, a communication scheduler that addresses inter-job comm"
39,vllm,Describe the experimental setup used in this paper.,3855,3804,0.0845,1.3533,550,"The experimental setup used in this paper involved implementing vLLM, a novel attention mechanism inspired by virtual me"
40,vllm,How does this paper relate to network systems or ML inference?,3866,3804,0.1354,1.1508,516,"This paper, titled ""Efficient Memory Management for Large Language Model Serving with PagedAttention,"" is focused on imp"
41,vllm,Summarize the key findings in 2-3 sentences.,3848,3804,0.0387,0.9765,469,"The key findings of the paper ""Efficient Memory Management for Large Language Model Serving with PagedAttention"" include"
